id,x_px,y_px,radius_px,score
1,525.63,409.85,28.81,1.9143
2,258.91,259.69,20.36,1.9021
3,487.59,729.05,23.21,1.8979
4,519.68,254.88,23.41,1.8940
5,915.10,648.35,25.14,1.8918
6,52.00,302.00,27.89,1.8909
7,349.60,294.70,37.47,1.8903
8,112.21,149.94,31.23,1.8866
9,634.21,519.47,22.89,1.8863
10,1111.95,173.86,36.54,1.8862
11,882.89,456.38,22.95,1.8844
12,604.55,577.70,24.55,1.8808
13,814.77,88.14,21.40,1.8785
14,52.48,576.21,26.60,1.8771
15,73.82,695.29,23.48,1.8767
16,602.34,112.60,24.27,1.8764
17,276.56,400.27,26.51,1.8677
18,1070.50,284.00,22.21,1.8667
19,1046.76,73.71,32.28,1.8626
20,434.74,732.46,29.25,1.8599
21,865.78,686.22,20.31,1.8586
22,201.16,315.30,20.59,1.8500
23,1113.50,463.00,46.46,1.8473
24,1032.82,506.15,31.09,1.8461
25,789.66,223.78,20.24,1.8414
26,231.21,176.79,34.36,1.8408
27,1030.50,110.50,21.78,1.8287
28,460.73,532.07,30.98,1.8224
29,911.00,286.00,45.19,1.8184
30,898.80,74.09,26.40,1.8167
31,99.50,400.00,22.14,1.8142
32,749.50,544.50,20.80,1.8075
33,1168.33,34.25,23.20,1.7943
34,499.47,50.62,22.95,1.7903
35,605.64,318.11,24.42,1.7894
36,652.00,56.50,23.75,1.7863
37,823.00,493.00,60.03,1.7825
38,1014.00,164.50,22.61,1.7825
39,185.85,64.86,21.06,1.7817
40,733.77,591.23,22.40,1.7711
41,972.50,470.50,23.55,1.7651
42,395.50,693.50,25.35,1.7625
43,1025.50,363.00,25.46,1.7602
44,535.50,201.50,35.70,1.7566
45,705.97,506.61,32.17,1.7546
46,657.58,696.37,24.85,1.7507
47,438.00,123.00,23.35,1.7362
48,52.00,147.50,24.97,1.7349
49,1163.46,234.04,23.01,1.7324
50,262.87,469.49,21.60,1.7311
51,897.00,157.00,21.38,1.7311
52,563.10,279.05,22.00,1.7302
53,884.81,197.81,32.29,1.7233
54,992.00,121.50,20.30,1.7214
55,834.00,191.50,26.23,1.7196
56,121.50,507.50,25.62,1.7166
57,977.00,50.50,20.72,1.7162
58,973.56,318.39,22.85,1.7154
59,224.00,713.50,22.85,1.7151
60,256.02,299.80,20.42,1.7139
61,606.87,368.82,25.28,1.7136
62,730.00,136.50,31.00,1.7044
63,750.50,67.00,25.54,1.7009
64,559.99,88.59,24.91,1.7001
65,1036.94,220.84,25.10,1.6984
66,659.00,144.00,25.81,1.6947
67,559.50,351.31,26.08,1.6919
68,309.00,443.00,37.66,1.6894
69,712.34,436.66,27.93,1.6715
70,171.52,491.34,22.62,1.6638
71,426.00,313.60,20.24,1.6603
72,34.12,420.76,22.45,1.6449
73,865.15,282.44,21.08,1.6342
74,1028.00,274.00,23.77,1.6273
75,780.50,677.50,31.66,1.6030
76,737.00,742.50,23.20,1.5898
77,668.50,548.00,32.14,1.5893
78,577.50,644.00,27.41,1.5794
79,252.50,610.00,21.64,1.5728
80,833.50,289.50,24.91,1.5341
