id,x_px,y_px,radius_px,score
1,888.07,746.31,10.60,1.9088
2,977.50,703.50,6.04,1.9066
3,974.00,735.94,21.60,1.9038
4,1062.50,492.00,9.01,1.9026
5,426.00,689.00,9.49,1.8994
6,148.83,272.40,7.31,1.8994
7,951.50,251.00,24.03,1.8987
8,432.29,516.47,12.55,1.8986
9,1001.50,411.00,11.24,1.8971
10,994.50,544.50,11.07,1.8925
11,491.00,302.00,5.83,1.8906
12,708.50,103.50,6.04,1.8858
13,442.95,760.70,10.40,1.8837
14,872.00,791.00,5.83,1.8834
15,857.87,272.65,17.20,1.8828
16,777.50,636.00,11.88,1.8821
17,1030.88,498.00,10.32,1.8820
18,1136.50,609.50,7.11,1.8820
19,313.50,180.50,8.86,1.8819
20,347.50,770.50,7.38,1.8819
21,720.50,776.00,14.40,1.8811
22,597.50,233.00,7.16,1.8788
23,550.65,529.42,5.87,1.8769
24,46.82,77.00,7.45,1.8764
25,223.12,687.42,13.37,1.8760
26,908.89,828.32,6.95,1.8757
27,321.00,861.50,6.95,1.8752
28,653.40,15.00,7.67,1.8746
29,550.50,393.00,7.16,1.8740
30,723.29,813.00,9.21,1.8732
31,650.68,616.50,5.88,1.8712
32,949.32,527.16,13.96,1.8708
33,492.50,103.50,6.04,1.8707
34,959.00,140.50,8.38,1.8699
35,204.00,144.50,6.50,1.8693
36,924.79,497.28,17.19,1.8689
37,995.28,614.50,4.95,1.8688
38,951.46,308.00,19.56,1.8684
39,491.00,202.00,9.49,1.8682
40,401.39,724.68,6.52,1.8679
41,717.82,162.00,7.45,1.8678
42,405.00,490.36,4.79,1.8670
43,749.89,372.73,5.39,1.8666
44,982.00,199.00,7.62,1.8663
45,944.50,550.36,7.02,1.8662
46,907.50,21.00,13.83,1.8654
47,425.00,733.00,4.47,1.8651
48,255.16,250.37,6.31,1.8649
49,554.93,194.21,6.33,1.8643
50,848.56,551.75,16.88,1.8636
51,305.50,482.00,7.16,1.8634
52,205.50,114.50,3.81,1.8627
53,127.00,744.00,14.32,1.8627
54,157.50,228.50,6.04,1.8622
55,99.00,271.50,8.38,1.8620
56,817.50,639.50,5.15,1.8607
57,555.00,517.50,6.10,1.8602
58,918.50,116.50,12.98,1.8585
59,567.23,578.50,6.29,1.8582
60,48.66,644.34,16.55,1.8581
61,461.00,171.50,5.59,1.8577
62,562.61,600.50,9.72,1.8576
63,377.00,471.00,20.62,1.8574
64,1001.50,847.00,4.03,1.8573
65,602.19,536.19,4.73,1.8547
66,408.50,629.00,6.27,1.8532
67,1115.91,806.91,11.53,1.8523
68,850.73,492.00,6.07,1.8521
69,902.00,463.00,6.32,1.8513
70,781.00,680.50,38.27,1.8511
71,119.00,201.50,4.72,1.8498
72,692.00,33.50,6.18,1.8496
73,1074.27,652.86,17.50,1.8492
74,260.00,858.50,5.32,1.8476
75,228.50,395.50,5.15,1.8473
76,694.21,519.45,4.10,1.8465
77,749.33,270.42,8.09,1.8453
78,979.16,646.99,7.93,1.8445
79,465.00,277.00,8.06,1.8421
80,397.50,157.50,6.04,1.8411
81,771.50,118.50,6.04,1.8408
82,1140.40,844.85,5.41,1.8403
83,108.00,84.00,8.25,1.8384
84,240.00,590.50,18.20,1.8365
85,509.50,769.00,4.03,1.8358
86,647.37,129.48,7.78,1.8355
87,1138.50,157.50,6.04,1.8329
88,629.50,487.50,7.91,1.8318
89,968.68,347.59,14.78,1.8307
90,955.32,472.50,12.19,1.8290
91,1120.50,501.00,16.71,1.8270
92,387.00,34.00,10.44,1.8267
93,606.50,582.50,8.28,1.8262
94,191.20,572.92,4.33,1.8250
95,798.00,843.00,5.00,1.8245
96,858.67,19.00,4.77,1.8228
97,855.00,207.50,49.21,1.8223
98,98.00,316.00,4.47,1.8209
99,236.25,652.50,6.91,1.8188
100,119.00,340.50,4.27,1.8181
101,604.90,816.50,6.86,1.8151
102,662.00,227.94,8.57,1.8130
103,752.50,704.50,11.85,1.8121
104,574.21,653.44,5.43,1.8105
105,114.81,630.81,4.73,1.8085
106,645.00,217.50,5.59,1.8077
107,957.08,224.29,7.44,1.8064
108,500.00,788.50,5.22,1.8042
109,562.00,506.50,8.14,1.8015
110,1019.63,507.27,36.77,1.8002
111,296.00,296.50,11.88,1.7986
112,364.50,660.70,4.81,1.7984
113,1102.50,210.50,4.74,1.7971
114,420.50,121.00,5.41,1.7963
115,407.00,107.50,50.30,1.7955
116,152.28,395.50,4.95,1.7944
117,1134.86,280.50,7.30,1.7939
118,972.43,494.27,10.93,1.7926
119,554.50,66.50,6.04,1.7904
120,797.50,249.50,9.19,1.7861
121,382.00,183.00,8.60,1.7821
122,960.50,172.00,6.80,1.7817
123,720.68,432.50,5.88,1.7789
124,643.00,662.00,6.71,1.7760
125,681.25,548.00,5.62,1.7649
126,811.62,308.08,26.70,1.7572
127,472.00,322.00,5.39,1.7542
128,802.88,274.42,17.45,1.7508
129,827.00,171.50,9.34,1.7392
130,523.11,741.31,12.78,1.7385
131,705.00,360.00,8.54,1.7328
132,864.00,158.00,10.44,1.7205
133,841.50,814.00,15.69,1.7132
134,511.50,578.00,11.24,1.7131
135,150.00,630.50,40.08,1.6865
136,703.00,470.50,20.06,1.6412
