part,local_id,local_x_px,local_y_px,global_x_px,global_y_px,radius_px,score
1,1,877.26,932.55,877.26,932.55,23.70,1.8927
1,2,1011.60,909.02,1011.60,909.02,28.61,1.8859
1,3,1143.00,953.50,1143.00,953.50,26.00,1.8834
1,4,838.00,374.00,838.00,374.00,21.10,1.8721
1,5,941.04,426.50,941.04,426.50,38.12,1.8714
1,6,832.15,600.00,832.15,600.00,36.20,1.8642
1,7,652.50,715.50,652.50,715.50,24.14,1.8634
1,8,1241.11,969.32,1241.11,969.32,24.00,1.8570
1,9,541.71,762.93,541.71,762.93,21.67,1.8552
1,10,1149.50,779.00,1149.50,779.00,21.91,1.8483
1,11,1223.02,863.97,1223.02,863.97,22.82,1.8465
1,12,1301.91,899.87,1301.91,899.87,24.62,1.8389
1,13,1117.90,349.00,1117.90,349.00,21.12,1.8299
1,14,1253.69,443.10,1253.69,443.10,29.30,1.8244
1,15,150.50,529.00,150.50,529.00,27.04,1.8213
1,16,729.55,613.30,729.55,613.30,38.82,1.8211
1,17,947.50,336.50,947.50,336.50,23.63,1.8150
1,18,1315.50,621.00,1315.50,621.00,20.72,1.8102
1,19,1175.50,361.00,1175.50,361.00,46.59,1.8089
1,20,887.50,875.50,887.50,875.50,21.51,1.8023
1,21,188.00,367.00,188.00,367.00,28.28,1.8004
1,22,1226.50,391.50,1226.50,391.50,27.06,1.7671
1,23,72.00,735.00,72.00,735.00,22.56,1.7570
1,24,1337.82,450.00,1337.82,450.00,21.20,1.7445
1,25,228.50,478.50,228.50,478.50,20.11,1.7392
1,26,773.50,198.00,773.50,198.00,37.62,1.7315
1,27,209.50,776.00,209.50,776.00,31.20,1.7253
1,28,1076.47,319.00,1076.47,319.00,60.60,1.7132
1,29,246.20,890.36,246.20,890.36,21.22,1.7086
1,30,1298.58,411.09,1298.58,411.09,23.78,1.7010
1,31,847.00,684.50,847.00,684.50,26.80,1.6978
1,32,697.50,163.00,697.50,163.00,25.58,1.6912
1,33,100.23,532.77,100.23,532.77,20.94,1.6888
1,34,748.00,473.50,748.00,473.50,23.59,1.6839
1,35,909.00,973.00,909.00,973.00,29.21,1.6752
1,36,1260.00,330.50,1260.00,330.50,36.23,1.6485
1,37,792.50,148.00,792.50,148.00,40.81,1.6263
1,38,352.50,578.00,352.50,578.00,25.22,1.6245
1,39,96.50,397.00,96.50,397.00,28.15,1.6135
1,40,1062.50,945.50,1062.50,945.50,23.16,1.6132
1,41,37.50,383.00,37.50,383.00,27.95,1.6086
1,42,1112.00,635.00,1112.00,635.00,59.67,1.6078
1,43,84.76,594.00,84.76,594.00,30.83,1.5875
1,44,894.50,45.50,894.50,45.50,27.54,1.5344
2,1,33.00,471.00,1398.00,471.00,25.96,1.8772
2,2,1176.57,414.00,2541.57,414.00,41.62,1.8716
2,3,881.00,735.00,2246.00,735.00,23.02,1.8474
2,4,1271.68,360.50,2636.68,360.50,32.78,1.8347
2,5,851.34,656.87,2216.34,656.87,38.88,1.8142
2,6,1304.04,329.15,2669.04,329.15,21.84,1.8141
2,7,934.52,466.12,2299.52,466.12,28.86,1.8099
2,8,763.00,891.50,2128.00,891.50,22.39,1.8091
2,9,396.93,260.50,1761.93,260.50,27.30,1.8038
2,10,1163.00,706.50,2528.00,706.50,25.66,1.8012
2,11,1002.50,681.00,2367.50,681.00,21.71,1.8011
2,12,1127.00,477.00,2492.00,477.00,24.19,1.7944
2,13,797.50,292.00,2162.50,292.00,40.70,1.7940
2,14,710.00,359.00,2075.00,359.00,24.33,1.7914
2,15,932.00,744.50,2297.00,744.50,22.68,1.7873
2,16,557.50,284.00,1922.50,284.00,54.62,1.7732
2,17,1117.50,658.50,2482.50,658.50,29.03,1.7702
2,18,1124.21,594.20,2489.21,594.20,27.05,1.7700
2,19,298.50,782.50,1663.50,782.50,24.75,1.7679
2,20,93.00,298.00,1458.00,298.00,23.19,1.7600
2,21,1247.00,232.00,2612.00,232.00,23.19,1.7589
2,22,831.00,220.50,2196.00,220.50,30.04,1.7459
2,23,634.50,255.00,1999.50,255.00,27.79,1.7401
2,24,1057.00,262.00,2422.00,262.00,27.29,1.7387
2,25,1150.50,207.50,2515.50,207.50,32.69,1.7254
2,26,858.00,158.00,2223.00,158.00,26.17,1.7228
2,27,691.00,742.50,2056.00,742.50,26.91,1.7202
2,28,1070.00,221.50,2435.00,221.50,25.12,1.7142
2,29,563.50,126.00,1928.50,126.00,24.03,1.7136
2,30,231.00,175.50,1596.00,175.50,27.12,1.7113
2,31,703.50,205.00,2068.50,205.00,32.64,1.7099
2,32,1231.50,196.00,2596.50,196.00,26.97,1.7065
2,33,1034.40,983.46,2399.40,983.46,21.76,1.7035
2,34,1203.50,471.00,2568.50,471.00,30.81,1.6965
2,35,607.42,574.71,1972.42,574.71,20.89,1.6885
2,36,50.00,543.00,1415.00,543.00,20.62,1.6802
2,37,647.50,152.50,2012.50,152.50,49.80,1.6699
2,38,279.19,339.00,1644.19,339.00,43.38,1.6656
2,39,1284.00,496.00,2649.00,496.00,35.85,1.6602
2,40,919.50,140.00,2284.50,140.00,32.56,1.6333
2,41,1009.50,219.00,2374.50,219.00,31.64,1.6158
2,42,237.00,215.50,1602.00,215.50,29.04,1.6132
2,43,1070.00,85.00,2435.00,85.00,45.10,1.6076
2,44,888.50,86.50,2253.50,86.50,31.54,1.6006
2,45,602.50,431.00,1967.50,431.00,57.32,1.5950
2,46,819.02,113.00,2184.02,113.00,43.03,1.5924
2,47,308.00,585.57,1673.00,585.57,41.86,1.5861
2,48,1183.00,93.50,2548.00,93.50,30.34,1.5820
2,49,465.50,865.00,1830.50,865.00,29.77,1.5573
2,50,1310.50,77.50,2675.50,77.50,41.86,1.5443
2,51,1315.50,188.50,2680.50,188.50,35.78,1.5159
2,52,235.50,505.00,1600.50,505.00,44.74,1.5115
3,1,812.50,850.00,3542.50,850.00,20.84,1.9103
3,2,465.00,432.50,3195.00,432.50,26.39,1.8766
3,3,963.00,831.59,3693.00,831.59,20.80,1.8750
3,4,945.91,504.50,3675.91,504.50,29.12,1.8699
3,5,606.00,461.00,3336.00,461.00,21.59,1.8520
3,6,600.00,319.00,3330.00,319.00,23.19,1.8481
3,7,229.50,347.50,2959.50,347.50,22.19,1.8479
3,8,1243.04,321.00,3973.04,321.00,31.10,1.8307
3,9,1288.50,669.00,4018.50,669.00,21.36,1.8300
3,10,756.33,686.01,3486.33,686.01,23.41,1.8295
3,11,324.47,577.40,3054.47,577.40,22.96,1.8259
3,12,653.00,329.00,3383.00,329.00,23.19,1.8160
3,13,655.00,857.00,3385.00,857.00,20.62,1.8150
3,14,980.50,982.00,3710.50,982.00,20.81,1.8145
3,15,213.34,559.19,2943.34,559.19,21.46,1.8141
3,16,571.50,535.50,3301.50,535.50,29.47,1.8127
3,17,83.00,296.50,2813.00,296.50,37.17,1.8123
3,18,1171.00,847.50,3901.00,847.50,22.41,1.8103
3,19,604.77,652.50,3334.77,652.50,24.64,1.7993
3,20,308.50,523.00,3038.50,523.00,21.10,1.7975
