id,x_px,y_px,radius_px,score
1,514.87,196.51,21.60,1.8645
2,1205.50,496.50,25.62,1.8608
3,1175.01,115.07,24.12,1.8538
4,222.00,98.50,29.40,1.8496
5,40.22,637.26,22.95,1.8423
6,1235.00,445.00,23.19,1.8353
7,140.50,386.00,22.07,1.8198
8,144.21,645.99,35.14,1.8100
9,289.50,229.00,94.54,1.8096
10,687.73,250.07,20.34,1.8086
11,1137.17,426.93,24.03,1.8084
12,688.00,721.50,25.40,1.8066
13,819.00,736.00,20.22,1.8040
14,751.50,694.50,20.80,1.7998
15,641.50,593.50,35.78,1.7988
16,1307.50,113.00,43.49,1.7983
17,729.00,630.50,23.26,1.7943
18,651.00,511.00,21.21,1.7840
19,95.00,735.00,22.20,1.7811
20,151.50,805.50,42.57,1.7771
21,395.35,254.54,48.29,1.7719
22,1087.50,709.50,21.64,1.7652
23,880.50,762.00,49.66,1.7604
24,1260.45,128.00,26.81,1.7534
25,1001.70,396.58,96.58,1.7523
26,236.00,762.50,26.23,1.7523
27,985.50,744.50,22.77,1.7506
28,1210.88,407.55,26.70,1.7442
29,1065.03,243.77,22.14,1.7410
30,933.50,126.50,20.55,1.7367
31,201.00,747.50,25.40,1.7333
32,777.00,814.00,31.40,1.7231
33,556.50,801.00,44.60,1.7205
34,442.95,88.49,49.01,1.7194
35,961.65,54.82,20.36,1.7175
36,894.04,849.50,23.09,1.7148
37,906.17,227.13,26.62,1.7131
38,664.50,815.50,24.75,1.7104
39,1118.50,502.00,20.81,1.7079
40,944.00,584.00,22.80,1.6943
41,1251.00,668.00,42.58,1.6870
42,743.00,743.50,30.04,1.6805
43,1133.98,108.92,38.56,1.6794
44,955.79,277.57,22.22,1.6783
45,787.00,715.00,30.08,1.6779
46,425.50,376.50,39.04,1.6764
47,647.50,741.50,28.71,1.6743
48,1163.41,777.87,37.10,1.6637
49,289.00,448.50,22.46,1.6518
50,1001.50,292.50,48.25,1.6477
51,239.00,704.00,30.08,1.6373
52,307.50,854.50,44.64,1.6311
53,613.13,178.09,37.79,1.6087
54,1019.36,513.71,22.38,1.6026
55,349.00,904.50,35.03,1.5767
56,429.50,858.00,34.63,1.5735
57,103.50,920.50,36.67,1.5681
58,1274.00,192.00,34.53,1.5655
59,272.50,353.50,71.43,1.5270
60,950.84,175.50,22.30,1.5172
61,1303.50,927.50,33.68,1.5144
