id,x_px,y_px,radius_px,score
1,925.50,627.00,27.17,1.8790
2,114.60,604.50,20.89,1.8605
3,539.09,574.00,14.23,1.8583
4,187.46,475.00,33.60,1.8579
5,379.00,342.50,17.18,1.8481
6,479.56,585.00,19.67,1.8469
7,244.46,533.00,29.61,1.8323
8,866.50,108.00,22.59,1.8291
9,632.00,353.50,16.07,1.8248
10,693.50,111.00,14.64,1.8121
11,489.50,426.50,45.63,1.8050
12,826.00,389.50,15.66,1.7302
13,148.00,326.50,20.43,1.7144
14,145.00,322.00,130.65,1.7081
15,865.00,424.50,26.10,1.5440
16,163.50,174.50,18.56,1.5152
17,921.00,443.00,20.22,1.4947
