id,x_px,y_px,radius_px,score
1,680.00,779.00,9.22,1.8878
2,925.50,627.00,27.17,1.8790
3,95.00,773.50,11.28,1.8701
4,33.50,82.50,6.96,1.8613
5,114.60,604.50,20.89,1.8605
6,539.09,574.00,14.23,1.8583
7,187.46,475.00,33.60,1.8579
8,80.62,483.00,10.81,1.8576
9,611.00,712.00,7.28,1.8562
10,120.59,547.00,8.65,1.8547
11,746.50,624.00,8.73,1.8542
12,626.50,484.00,8.08,1.8500
13,69.84,572.00,8.40,1.8491
14,379.00,342.50,17.18,1.8481
15,479.56,585.00,19.67,1.8469
16,332.00,378.00,7.28,1.8413
17,158.50,255.00,7.76,1.8396
18,911.00,478.50,7.16,1.8351
19,406.00,177.00,9.49,1.8344
20,772.50,260.00,7.57,1.8337
21,602.33,698.00,7.92,1.8326
22,740.00,245.00,8.06,1.8325
23,244.46,533.00,29.61,1.8323
24,148.50,81.00,7.76,1.8318
25,866.50,108.00,22.59,1.8291
26,83.00,73.50,7.16,1.8276
27,432.61,132.50,9.72,1.8257
28,632.00,353.50,16.07,1.8248
29,215.50,289.00,12.86,1.8228
30,758.50,251.50,7.91,1.8211
31,693.00,369.00,8.06,1.8203
32,360.00,432.00,7.28,1.8182
33,189.12,426.50,8.26,1.8176
34,664.00,576.00,8.06,1.8169
35,211.50,74.50,8.63,1.8165
36,390.50,739.00,7.16,1.8155
37,701.50,183.00,7.76,1.8133
38,184.00,395.50,12.09,1.8123
39,693.50,111.00,14.64,1.8121
40,252.93,146.00,10.12,1.8100
41,277.33,165.59,10.32,1.8093
42,576.00,228.50,11.28,1.8085
43,588.00,29.00,9.22,1.8078
44,719.62,202.50,8.75,1.8060
45,838.88,597.50,8.26,1.8059
46,142.50,101.00,6.80,1.8057
47,682.00,334.50,8.14,1.8051
48,489.50,426.50,45.63,1.8050
49,590.40,602.60,7.25,1.8041
50,286.50,47.50,9.82,1.8035
51,914.00,258.00,7.62,1.8017
52,496.00,541.25,8.19,1.8003
53,84.50,111.00,8.50,1.7967
54,546.32,339.61,6.52,1.7956
55,58.00,52.00,10.20,1.7946
56,457.00,31.50,9.12,1.7930
57,498.62,253.50,8.75,1.7864
58,777.60,288.00,7.67,1.7860
59,787.00,131.50,9.34,1.7815
60,492.00,184.00,9.22,1.7803
61,420.00,218.00,7.62,1.7781
62,788.50,281.00,6.80,1.7774
63,30.50,630.50,6.96,1.7760
64,319.00,155.00,8.25,1.7721
65,315.50,207.00,7.16,1.7719
66,562.00,155.50,7.16,1.7694
67,660.00,86.50,10.11,1.7690
68,182.00,55.00,9.49,1.7644
69,244.50,235.00,7.76,1.7623
70,869.50,177.50,8.28,1.7618
71,166.08,636.00,9.14,1.7606
72,530.00,232.00,9.22,1.7598
73,23.59,136.00,8.65,1.7581
74,97.62,140.02,6.70,1.7563
75,144.50,146.50,9.62,1.7554
76,531.00,261.50,7.43,1.7553
77,528.00,345.00,7.62,1.7548
78,758.50,450.00,8.08,1.7539
79,465.70,90.65,10.63,1.7498
80,763.50,127.00,9.96,1.7492
81,847.00,145.50,10.59,1.7422
82,731.50,152.00,8.08,1.7419
83,788.00,94.50,8.73,1.7378
84,129.00,51.00,9.49,1.7317
85,371.50,139.00,8.08,1.7305
86,826.00,389.50,15.66,1.7302
87,29.00,53.50,13.24,1.7299
88,390.00,246.00,8.25,1.7261
89,164.50,143.00,7.76,1.7231
90,684.40,213.00,7.67,1.7222
91,114.50,16.50,7.65,1.7214
92,553.00,191.00,8.25,1.7197
93,254.50,82.00,9.01,1.7178
94,32.50,175.50,8.86,1.7174
95,883.00,216.50,9.34,1.7171
96,346.00,164.00,11.40,1.7167
97,86.00,182.50,10.31,1.7152
98,148.00,326.50,20.43,1.7144
99,376.00,198.00,7.62,1.7121
100,606.50,112.00,8.50,1.7107
101,145.00,322.00,130.65,1.7081
102,783.50,166.50,9.62,1.7061
103,286.50,89.50,7.91,1.7048
104,817.50,168.00,9.71,1.7046
105,143.00,59.00,8.94,1.7034
106,232.50,171.00,9.71,1.7023
107,454.00,325.00,10.20,1.7006
108,573.50,187.00,9.71,1.6966
109,299.50,252.00,8.08,1.6906
110,526.92,107.00,9.14,1.6824
111,113.50,144.50,8.63,1.6813
112,159.50,175.50,11.77,1.6785
113,368.00,116.50,11.54,1.6624
114,816.00,183.00,12.53,1.6552
115,228.00,215.00,14.87,1.6524
116,758.00,205.50,11.10,1.6513
117,543.50,126.50,8.28,1.6492
118,650.00,147.50,10.11,1.6479
119,226.00,57.00,15.81,1.6441
120,931.57,202.00,10.62,1.6432
121,735.00,227.50,12.26,1.6106
122,588.50,458.00,9.96,1.6060
123,918.50,439.50,16.69,1.5852
124,865.00,424.50,26.10,1.5440
125,32.00,34.50,12.50,1.5347
126,919.50,682.00,22.70,1.4806
127,490.50,101.00,18.50,1.4765
128,421.50,612.50,14.92,1.4533
